Wall time,Step,Value
1743548566.2178502,7374848,-95.31137084960938
1743548575.576566,7395328,-93.71639251708984
1743548584.748265,7415808,-100.25440979003906
1743548594.2239628,7436288,-96.82569885253906
1743548603.3278542,7456768,-96.35872650146484
1743548612.533379,7477248,-93.30613708496094
1743548621.8879948,7497728,-93.27751922607422
1743548630.999664,7518208,-91.50033569335938
1743548640.5338051,7538688,-93.00877380371094
1743548649.743371,7559168,-97.03134155273438
1743548659.081984,7579648,-97.60175323486328
1743548667.931469,7600128,-95.31875610351562
1743548677.660064,7620608,-91.5574951171875
1743548687.0177941,7641088,-92.87714385986328
1743548696.316237,7661568,-87.3412094116211
1743548705.916123,7682048,-84.55262756347656
1743548715.308534,7702528,-82.76347351074219
1743548724.555031,7723008,-83.2197265625
1743548733.696331,7743488,-83.09822845458984
1743548742.824832,7763968,-86.96089172363281
1743548751.936832,7784448,-84.36431884765625
1743548761.232024,7804928,-87.76612091064453
1743548770.091788,7825408,-88.15397644042969
1743548778.908514,7845888,-90.8642349243164
1743548787.853716,7866368,-89.96707153320312
1743548796.633207,7886848,-93.32909393310547
1743548805.4419022,7907328,-94.52326202392578
1743548814.156075,7927808,-96.35855102539062
1743548822.9951649,7948288,-93.7778091430664
1743548831.794187,7968768,-94.80675506591797
1743548840.475057,7989248,-95.34385681152344
1743548858.489685,8024064,-95.92799377441406
1743548867.274869,8044544,-97.53749084472656
1743548875.9678981,8065024,-97.60537719726562
1743548884.750685,8085504,-97.72614288330078
1743548893.5588531,8105984,-94.37263488769531
1743548902.11847,8126464,-94.74115753173828
1743548910.886512,8146944,-96.38270568847656
1743548919.7210371,8167424,-95.5645751953125
1743548928.491477,8187904,-92.88166809082031
1743548937.289438,8208384,-94.85604095458984
1743548946.146911,8228864,-96.08483123779297
1743548954.91886,8249344,-92.05012512207031
1743548963.647677,8269824,-92.893798828125
1743548972.58931,8290304,-95.27832794189453
1743548981.452839,8310784,-94.1531753540039
1743548990.206136,8331264,-94.09951782226562
1743548999.144354,8351744,-90.57746124267578
1743549007.918918,8372224,-92.46070861816406
1743549016.751916,8392704,-91.4017562866211
1743549025.464295,8413184,-89.96098327636719
1743549034.141922,8433664,-92.43115997314453
1743549042.983544,8454144,-93.71066284179688
1743549051.721271,8474624,-92.73807525634766
1743549060.577802,8495104,-95.99620819091797
1743549069.41964,8515584,-102.34963989257812
1743549078.236897,8536064,-112.38111877441406
1743549086.961049,8556544,-121.76475524902344
1743549095.779336,8577024,-125.9053955078125
1743549104.618203,8597504,-123.45736694335938
1743549113.453614,8617984,-116.08560180664062
1743549122.160347,8638464,-105.87812805175781
1743549130.947165,8658944,-98.36461639404297
1743549139.7254,8679424,-90.81537628173828
1743549148.713047,8699904,-91.65336608886719
1743549157.408308,8720384,-90.43878936767578
1743549166.2803211,8740864,-93.3593978881836
1743549175.1065779,8761344,-93.80766296386719
1743549184.036638,8781824,-93.81794738769531
1743549192.781226,8802304,-93.19729614257812
1743549201.623809,8822784,-95.96089935302734
1743549210.508057,8843264,-94.10987091064453
1743549219.297187,8863744,-91.39949035644531
1743549228.085906,8884224,-91.27261352539062
1743549236.902817,8904704,-89.93781280517578
1743549245.681958,8925184,-86.76409149169922
1743549254.388593,8945664,-86.90679931640625
1743549263.143452,8966144,-93.96659851074219
1743549271.8856041,8986624,-96.31924438476562
1743549280.83461,9007104,-99.92635345458984
1743549289.6088388,9027584,-100.89439392089844
1743549298.38391,9048064,-105.98181915283203
1743549307.140217,9068544,-104.76984405517578
1743549316.044641,9089024,-102.07950592041016
1743549324.772732,9109504,-101.43616485595703
1743549333.500392,9129984,-102.02681732177734
1743549342.316446,9150464,-100.96919250488281
1743549351.0209951,9170944,-100.17298889160156
1743549359.73171,9191424,-100.45100402832031
1743549368.474595,9211904,-99.89276123046875
1743549377.2054331,9232384,-95.61381530761719
1743549386.0379589,9252864,-91.77711486816406
1743549394.7500951,9273344,-91.45587158203125
1743549403.516402,9293824,-92.0965347290039
1743549412.2137358,9314304,-92.36732482910156
1743549420.931637,9334784,-92.22366333007812
1743549429.7168388,9355264,-93.2164535522461
1743549438.4396539,9375744,-99.37881469726562
1743549447.146422,9396224,-102.5111083984375
1743549455.9919832,9416704,-105.43550872802734
1743549464.808882,9437184,-106.60018157958984
1743549473.544191,9457664,-102.09872436523438
1743549482.300447,9478144,-94.79438781738281
1743549491.0920022,9498624,-93.22296905517578
1743549499.77058,9519104,-86.99956512451172
1743549508.4972968,9539584,-83.88636779785156
1743549517.250617,9560064,-83.34950256347656
1743549525.921482,9580544,-84.6952896118164
1743549534.646795,9601024,-83.13333129882812
1743549543.4319282,9621504,-83.6205062866211
1743549552.091265,9641984,-86.34065246582031
1743549560.826438,9662464,-85.06494140625
1743549569.6890829,9682944,-85.54730987548828
1743549578.387394,9703424,-84.92594146728516
1743549587.087242,9723904,-85.48760223388672
1743549595.7695282,9744384,-82.94669342041016
1743549604.478584,9764864,-87.29170989990234
1743549613.210811,9785344,-87.20160675048828
1743549622.017498,9805824,-93.04548645019531
1743549630.752966,9826304,-93.19878387451172
1743549639.524808,9846784,-93.87589263916016
1743549648.273333,9867264,-91.53055572509766
1743549656.931425,9887744,-88.67790222167969
1743549665.731821,9908224,-91.94164276123047
1743549674.457702,9928704,-96.45718383789062
1743549683.155784,9949184,-98.73075103759766
1743549691.9455712,9969664,-103.87604522705078
1743549700.805217,9990144,-105.84630584716797
1743549718.0299451,10024960,-104.1478271484375
1743549726.6180348,10045440,-99.7325439453125
1743549735.2693498,10065920,-98.64871978759766
1743549743.968896,10086400,-93.09029388427734
1743549752.738241,10106880,-92.81397247314453
1743549761.46847,10127360,-89.30912017822266
1743549770.233723,10147840,-88.81710052490234
1743549778.972467,10168320,-86.78692626953125
1743549787.8351,10188800,-87.23387908935547
1743549796.60011,10209280,-87.5448226928711
1743549805.296607,10229760,-92.41189575195312
1743549814.0081348,10250240,-91.83416748046875
1743549822.72211,10270720,-93.95542907714844
1743549831.472352,10291200,-90.86558532714844
1743549840.22601,10311680,-87.28673553466797
1743549848.9661,10332160,-86.87897491455078
1743549857.508554,10352640,-85.21026611328125
