V1,V2,V3,State,Next_State_1,Next_State_2,Next_State_3,Next_State_4,Prob_1,Prob_2,Prob_3,Prob_4
0.34,0.017,15,296,99,,,,1.0,,,
0.35,0.016,16,99,,,,,,,,
0.29,0.016,15,297,215,296,,,0.58,0.42,,
0.32,0.013,16,215,,,,,,,,
0.34,0.017,16,296,,,,,,,,
0.28,0.012,14,269,266,298,299,,0.36,0.43,0.21,
0.27,0.013,15,266,259,,,,1.0,,,
0.29,0.011,16,259,,,,,,,,
0.31,0.012,15,298,219,243,,,0.47,0.53,,
0.33,0.011,16,219,,,,,,,,
0.35,0.011,16,243,,,,,,,,
0.27,0.011,15,299,259,221,,,0.65,0.35,,
0.29,0.011,16,259,,,,,,,,
0.29,0.01,16,221,,,,,,,,
0.28,0.015,14,248,300,,,,1.0,,,
0.28,0.016,15,300,301,56,,,0.29,0.71,,
0.33,0.016,16,301,,,,,,,,
0.33,0.014,16,56,,,,,,,,
0.36,0.013,13,284,302,113,217,,0.43,0.09,0.47,
0.38,0.012,14,302,278,239,219,,0.51,0.13,0.36,
0.38,0.013,15,278,218,113,278,,0.35,0.08,0.57,
0.34,0.012,16,218,,,,,,,,
0.42,0.013,16,113,,,,,,,,
0.38,0.013,16,278,,,,,,,,
0.37,0.013,15,239,303,,,,1.0,,,
0.43,0.012,16,303,,,,,,,,
0.33,0.011,15,219,304,223,,,0.11,0.89,,
0.38,0.01,16,304,,,,,,,,
0.3,0.011,16,223,,,,,,,,
0.42,0.013,14,113,305,,,,1.0,,,
0.42,0.015,15,305,106,78,,,0.1,0.9,,
0.4,0.014,16,106,,,,,,,,
0.38,0.017,16,78,,,,,,,,
0.34,0.011,14,217,231,230,306,,0.43,0.53,0.05,
0.39,0.009,15,231,307,231,,,0.98,0.02,,
0.45,0.01,16,307,,,,,,,,
0.39,0.009,16,231,,,,,,,,
0.36,0.011,15,230,308,243,243,,0.61,0.22,0.17,
0.33,0.01,16,308,,,,,,,,
0.35,0.011,16,243,,,,,,,,
